Referencia,Referencia_yyyymm,Indice
mar/2000,200003,4.7244668
abr/2000,200004,4.7183329
mai/2000,200005,4.7140906
jun/2000,200006,4.7164481
jul/2000,200007,4.7023411
ago/2000,200008,4.637875
set/2000,200009,4.5824281
out/2000,200010,4.5628074
nov/2000,200011,4.5555191
dez/2000,200012,4.5423456
jan/2001,200101,4.5174988
fev/2001,200102,4.482981
mar/2001,200103,4.4611205
abr/2001,200104,4.4398097
mai/2001,200105,4.4028261
jun/2001,200106,4.3778722
jul/2001,200107,4.3517616
ago/2001,200108,4.3039871
set/2001,200109,4.2702524
out/2001,200110,4.2515452
nov/2001,200111,4.2119533
dez/2001,200112,4.158311
jan/2002,200201,4.1277654
fev/2002,200202,4.0840662
mar/2002,200203,4.0714447
abr/2002,200204,4.0463565
mai/2002,200205,4.0190279
jun/2002,200206,4.0154134
jul/2002,200207,3.9910684
ago/2002,200208,3.9456934
set/2002,200209,3.9120494
out/2002,200210,3.8798469
nov/2002,200211,3.8198751
dez/2002,200212,3.6946269
jan/2003,200301,3.5974951
fev/2003,200302,3.5107782
mar/2003,200303,3.4602589
abr/2003,200304,3.4134937
mai/2003,200305,3.367028
jun/2003,200306,3.3340215
jul/2003,200307,3.3360232
ago/2003,200308,3.3346893
set/2003,200309,3.3286972
out/2003,200310,3.3016247
nov/2003,200311,3.2887978
dez/2003,200312,3.2766739
jan/2004,200401,3.2590754
fev/2004,200402,3.2322476
mar/2004,200403,3.2196912
abr/2004,200404,3.2014424
mai/2004,200405,3.1883701
jun/2004,200406,3.1756676
jul/2004,200407,3.1598688
ago/2004,200408,3.1369685
set/2004,200409,3.1213621
out/2004,200410,3.1160655
nov/2004,200411,3.1107762
dez/2004,200412,3.0971489
jan/2005,200501,3.0707409
fev/2005,200502,3.0533362
mar/2005,200503,3.0399602
abr/2005,200504,3.0179298
mai/2005,200505,2.9907142
jun/2005,200506,2.969925
jul/2005,200507,2.9731947
ago/2005,200508,2.9723037
set/2005,200509,2.9723037
out/2005,200510,2.9678518
nov/2005,200511,2.9507372
dez/2005,200512,2.9348893
jan/2006,200601,2.9231959
fev/2006,200602,2.9121308
mar/2006,200603,2.9054475
abr/2006,200604,2.8976244
mai/2006,200605,2.8941515
jun/2006,200606,2.8903936
jul/2006,200607,2.8924186
ago/2006,200608,2.8892404
set/2006,200609,2.8898182
out/2006,200610,2.8852019
nov/2006,200611,2.8728489
dez/2006,200612,2.8608332
jan/2007,200701,2.8432052
fev/2007,200702,2.8293415
mar/2007,200703,2.8175084
abr/2007,200704,2.8051654
mai/2007,200705,2.7978903
jun/2007,200706,2.7906358
jul/2007,200707,2.7820112
ago/2007,200708,2.7731369
set/2007,200709,2.7568704
out/2007,200710,2.7499968
nov/2007,200711,2.7417707
dez/2007,200712,2.7300319
jan/2008,200801,2.7038054
fev/2008,200802,2.6852763
mar/2008,200803,2.6724492
abr/2008,200804,2.6588884
mai/2008,200805,2.6419796
jun/2008,200806,2.6168576
jul/2008,200807,2.593259
ago/2008,200808,2.5783051
set/2008,200809,2.5729025
out/2008,200810,2.5690482
nov/2008,200811,2.5562673
dez/2008,200812,2.5465897
jan/2009,200901,2.5392262
fev/2009,200902,2.5230783
mar/2009,200903,2.5152804
abr/2009,200904,2.5102604
mai/2009,200905,2.496529
jun/2009,200906,2.4816403
jul/2009,200907,2.4712603
ago/2009,200908,2.4655898
set/2009,200909,2.4636184
out/2009,200910,2.4596837
nov/2009,200911,2.4537948
dez/2009,200912,2.4447483
jan/2010,201001,2.4388955
fev/2010,201002,2.4176202
mar/2010,201003,2.4008145
abr/2010,201004,2.3838891
mai/2010,201005,2.3666125
jun/2010,201006,2.3564806
jul/2010,201007,2.3590762
ago/2010,201008,2.3607278
set/2010,201009,2.3623813
out/2010,201010,2.3496926
nov/2010,201011,2.3282732
dez/2010,201012,2.3045364
jan/2011,201101,2.290791
fev/2011,201102,2.2694581
mar/2011,201103,2.2572691
abr/2011,201104,2.2424688
mai/2011,201105,2.2264387
jun/2011,201106,2.2138199
jul/2011,201107,2.2089594
ago/2011,201108,2.2089594
set/2011,201109,2.199721
out/2011,201110,2.1898662
nov/2011,201111,2.1828815
dez/2011,201112,2.170509
jan/2012,201201,2.1594968
fev/2012,201202,2.1485384
mar/2012,201203,2.1401918
abr/2012,201204,2.1363455
mai/2012,201205,2.1227606
jun/2012,201206,2.1111493
jul/2012,201207,2.1056741
ago/2012,201208,2.0966587
set/2012,201209,2.0872665
out/2012,201210,2.0741995
nov/2012,201211,2.0595757
dez/2012,201212,2.0485139
jan/2013,201301,2.0334657
fev/2013,201302,2.014929
mar/2013,201303,2.0045061
abr/2013,201304,1.9925499
mai/2013,201305,1.9808623
jun/2013,201306,1.973954
jul/2013,201307,1.9684427
ago/2013,201308,1.971005
set/2013,201309,1.9678561
out/2013,201310,1.9625574
nov/2013,201311,1.9506579
dez/2013,201312,1.9401809
jan/2014,201401,1.9263114
fev/2014,201402,1.914252
mar/2014,201403,1.9020782
abr/2014,201404,1.8866079
mai/2014,201405,1.8720069
jun/2014,201406,1.8608416
jul/2014,201407,1.8560164
ago/2014,201408,1.8536066
set/2014,201409,1.8502765
out/2014,201410,1.8412534
nov/2014,201411,1.8342832
dez/2014,201412,1.8246136
jan/2015,201501,1.8133699
fev/2015,201502,1.7869241
mar/2015,201503,1.7664328
abr/2015,201504,1.740157
mai/2015,201505,1.7278889
jun/2015,201506,1.7109507
jul/2015,201507,1.6978764
ago/2015,201508,1.6880856
set/2015,201509,1.6838761
out/2015,201510,1.675332
nov/2015,201511,1.6625308
